;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Contenaire;Réf Exportateur;Réf dossier;Date_départ;Date arrivée;Palette;Calibre;Poids_com;Emballage;Code emb;Client;Code client;Destination;Code;Verger;Versement;Bdq;Variete;Code Variete;Producteur;Code Producteur;Exportateur;Code Exportateur;Nbr col;Poids net;Type transport;Client.1;heure départ;Période;Exportateur.1;Contenaire.1;Transitaire local;Ville de départ;Pays;Destination.1;Etat;Date de la commande;Date de livraison;Date prévue;État de la facture;Devise/Afficher Nom;Col;CU LOG; Logistique ; Montant_Prest ; Mt export_dev ;Mt_MAD; Poins net ; Bilan Matière.MS_U par semaine ; Bilan Matière.DépDevU ; Bilan Matière.CA_DEV_U ; Bilan Matière.Trasnp_U ; Bilan Matière.Drencher_U ; CU CIRE ; Electricité ; Gasoil ; propane ; Maintenance ; Mt Transport ; mt.Maintenance ; PropaneMt ; Gasoilmt ; Elect_Mt ; Cire_Mt ; Drench_Mt ; CA_DEV_Mt ; Dev_Dep_Mt ; MS_Mt 
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026692;4;1080;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;640;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;72;1136;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;1080;;;1136;;;;0,198719579;0,74607851;0,045451034;0,04;0,028358195;0,02;0,068943398;225,7454412;78,31969989;22,72;32,21490973;45,44;51,63237502;847,5451869;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026695;4;1080;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;640;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;72;1136;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;1080;;;1136;;;;0,198719579;0,74607851;0,045451034;0,04;0,028358195;0,02;0,068943398;225,7454412;78,31969989;22,72;32,21490973;45,44;51,63237502;847,5451869;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026698;4;1080;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;640;BDQ002134;MAROC-LATE;141;ddd;;PRO PRIM;9734;72;1137;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;1080;;;1137;;;;0,198719579;0,74607851;0,045451034;0,04;0,028358195;0,02;0,068943398;225,9441608;78,38864329;22,74;32,24326792;45,48;51,67782605;848,2912655;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026699;4;1080;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;640;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;72;1135;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;1080;;;1135;;;;0,198719579;0,74607851;0,045451034;0,04;0,028358195;0,02;0,068943398;225,5467216;78,25075649;22,7;32,18655153;45,4;51,58692398;846,7991084;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026771;4;1080;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;640;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;72;1131;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;1080;;;1131;;;;0,198719579;0,74607851;0,045451034;0,04;0,028358195;0,02;0,068943398;224,7518433;77,9749829;22,62;32,07311875;45,24;51,40511985;843,8147944;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026772;5;1080;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;640;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;72;1127;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;1080;;;1127;;;;0,198719579;0,74607851;0,045451034;0,04;0,028358195;0,02;0,068943398;223,956965;77,69920931;22,54;31,95968597;45,08;51,22331571;840,8304804;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026773;4;825;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;640;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;55;861,55;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;825;;;861,55;;;;0,198719579;0,74607851;0,045451034;0,04;0,028358195;0,02;0,068943398;171,2068529;59,39818437;17,231;24,43200306;34,462;39,15833864;642,78394;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026773;4;825;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;640;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;55;861,55;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;825;;;267,45;;;;0,227751343;0,279643131;0,045451034;0,04;0,028358195;0,02;0,068943398;60,9120967;18,43891174;5,349;24,43200306;10,698;39,15833864;74,79055545;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026773;4;255;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;641;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;17;267,45;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;255;;;861,55;;;;0,198719579;0,74607851;0,045451034;0,04;0,028358195;0,02;0,068943398;171,2068529;59,39818437;17,231;7,584399302;34,462;12,15587914;642,78394;;;
SUDU9311168;9734;921;22/06/2022;12/07/2022;EX026773;4;255;CL 828 BL FRESH PROPRIM;;Alquema International Trading WLL;;QATAR;2900;IGLI;641;BDQ002134;MAROC-LATE;141;MZALI MBROUKA;;PRO PRIM;9734;17;267,45;Contenaire;Alquema International Trading WLL;22/06/2022;S26;PRO PRIM;SUDU9311168;VERSAIR;Tanger;Qatar;QATAR;Brouillon;;;;;;15;;;255;;;267,45;;;;0,227751343;0,279643131;0,045451034;0,04;0,028358195;0,02;0,068943398;60,9120967;18,43891174;5,349;7,584399302;10,698;12,15587914;74,79055545;;;
